answer,responseCode,responseLabel,frequency,answer_short,answer_display,percentage_overall
http://digistrucmed.org/questionnaire#10080102,,No recorded response,105,10080102,No recorded response,2.84
http://digistrucmed.org/questionnaire#10070101,TEXT,Textual response,99,10070101,Textual response,2.68
http://digistrucmed.org/questionnaire#10050001,1,Text,88,10050001,Text,2.38
http://digistrucmed.org/questionnaire#10070102,,No recorded response,67,10070102,No recorded response,1.81
http://digistrucmed.org/questionnaire#10030110,10,alle [10],66,10030110,alle [10],1.79
http://digistrucmed.org/questionnaire#10080101,TEXT,Textual response,61,10080101,Textual response,1.65
http://digistrucmed.org/questionnaire#10020110,10,sehr [10],61,10020110,sehr [10],1.65
http://digistrucmed.org/questionnaire#10040110,10,sehr gut [10],59,10040110,sehr gut [10],1.6
http://digistrucmed.org/questionnaire#10050002,2,Video,56,10050002,Video,1.52
http://digistrucmed.org/questionnaire#10060110,10,sehr gut [10],55,10060110,sehr gut [10],1.49
http://digistrucmed.org/questionnaire#10100109,9,[9],53,10100109,[9],1.44
http://digistrucmed.org/questionnaire#10100109,9,Skalenwert 9,53,10100109,Skalenwert 9,1.44
http://digistrucmed.org/questionnaire#10060108,8,[8],46,10060108,[8],1.25
http://digistrucmed.org/questionnaire#10060108,8,Skalenwert 8,46,10060108,Skalenwert 8,1.25
http://digistrucmed.org/questionnaire#10020108,8,[8],44,10020108,[8],1.19
http://digistrucmed.org/questionnaire#10020108,8,Skalenwert 8,44,10020108,Skalenwert 8,1.19
http://digistrucmed.org/questionnaire#10040109,9,[9],38,10040109,[9],1.03
http://digistrucmed.org/questionnaire#10040109,9,Skalenwert 9,38,10040109,Skalenwert 9,1.03
http://digistrucmed.org/questionnaire#10040108,8,[8],36,10040108,[8],0.97
http://digistrucmed.org/questionnaire#10040108,8,Skalenwert 8,36,10040108,Skalenwert 8,0.97
http://digistrucmed.org/questionnaire#10060109,9,[9],34,10060109,[9],0.92
http://digistrucmed.org/questionnaire#10060109,9,Skalenwert 9,34,10060109,Skalenwert 9,0.92
http://digistrucmed.org/questionnaire#10100108,8,[8],31,10100108,[8],0.84
http://digistrucmed.org/questionnaire#10100108,8,Skalenwert 8,31,10100108,Skalenwert 8,0.84
http://digistrucmed.org/questionnaire#10030109,9,[9],31,10030109,[9],0.84
http://digistrucmed.org/questionnaire#10030109,9,Skalenwert 9,31,10030109,Skalenwert 9,0.84
http://digistrucmed.org/questionnaire#10020109,9,[9],29,10020109,[9],0.79
http://digistrucmed.org/questionnaire#10020109,9,Skalenwert 9,29,10020109,Skalenwert 9,0.79
http://digistrucmed.org/questionnaire#10030108,8,[8],28,10030108,[8],0.76
http://digistrucmed.org/questionnaire#10030108,8,Skalenwert 8,28,10030108,Skalenwert 8,0.76
http://digistrucmed.org/questionnaire#20010405,5,trifft gar nicht zu,28,20010405,trifft gar nicht zu,0.76
http://digistrucmed.org/questionnaire#30070004,4,4<tab>Benutzung ist leicht erlernbar oder die Lernplattform weist klare Instruktionen zur Benutzung auf,26,30070004,4<tab>Benutzung ist leicht erlernbar oder die Lernplattform weist klare Instruktionen zur Benutzung auf,0.7
http://digistrucmed.org/questionnaire#30100004,4,4<tab>Hohe Qualit�t der Grafiken und gute Aufl�sung des visuellen Designs - �berwiegend proportional und einheitlich im Stil,26,30100004,4<tab>Hohe Qualit�t der Grafiken und gute Aufl�sung des visuellen Designs - �berwiegend proportional und einheitlich im Stil,0.7
http://digistrucmed.org/questionnaire#20010205,5,trifft gar nicht zu,25,20010205,trifft gar nicht zu,0.68
http://digistrucmed.org/questionnaire#30090004,4,"4<tab>Gutes Design - �berwiegend klar; Optionen k�nnen ausgew�hlt, gefunden, gesehen und gelesen werden.",25,30090004,"4<tab>Gutes Design - �berwiegend klar; Optionen k�nnen ausgew�hlt, gefunden, gesehen und gelesen werden.",0.68
http://digistrucmed.org/questionnaire#20010805,5,trifft gar nicht zu,24,20010805,trifft gar nicht zu,0.65
http://digistrucmed.org/questionnaire#30030003,3,"3<tab>Grundlegende interaktive Funktionen, angemessene Funktionalit�t",24,30030003,"3<tab>Grundlegende interaktive Funktionen, angemessene Funktionalit�t",0.65
http://digistrucmed.org/questionnaire#30120005,4,"4<tab>Relevant, geeignet, zusammenh�ngend, korrekt",23,30120005,"4<tab>Relevant, geeignet, zusammenh�ngend, korrekt",0.62
http://digistrucmed.org/questionnaire#10100110,10,sehr [10],22,10100110,sehr [10],0.6
http://digistrucmed.org/questionnaire#20010305,5,trifft voll zu,22,20010305,trifft voll zu,0.6
http://digistrucmed.org/questionnaire#30140005,4,"4<tab>Meistens klar, logisch und richtig, mit unerheblichen/vernachl�ssigbaren Problemen",22,30140005,"4<tab>Meistens klar, logisch und richtig, mit unerheblichen/vernachl�ssigbaren Problemen",0.6
http://digistrucmed.org/questionnaire#30150006,5,5<tab>Stammt definitiv aus einer legitimen/spezialisierten Quelle,22,30150006,5<tab>Stammt definitiv aus einer legitimen/spezialisierten Quelle,0.6
http://digistrucmed.org/questionnaire#30170003,3,3<tab>3-10,22,30170003,3<tab>3-10,0.6
http://digistrucmed.org/questionnaire#30190004,4,4,22,30190004,4,0.6
http://digistrucmed.org/questionnaire#30130005,4,"4<tab>Bietet eine gro�e Menge an Informationen, hat L�cken oder unn�tige Details oder bietet keine weiteren Hinweise auf Literatur zum Vertiefen",22,30130005,"4<tab>Bietet eine gro�e Menge an Informationen, hat L�cken oder unn�tige Details oder bietet keine weiteren Hinweise auf Literatur zum Vertiefen",0.6
http://digistrucmed.org/questionnaire#20011005,5,trifft gar nicht zu,21,20011005,trifft gar nicht zu,0.57
http://digistrucmed.org/questionnaire#30110004,4,"4<tab>Hoher visueller Anreiz - makellose Grafiken, einheitliches und professionelles Design",21,30110004,"4<tab>Hoher visueller Anreiz - makellose Grafiken, einheitliches und professionelles Design",0.57
http://digistrucmed.org/questionnaire#30200005,5,5 Stimme sehr zu,21,30200005,5 Stimme sehr zu,0.57
http://digistrucmed.org/questionnaire#20010905,5,trifft voll zu,20,20010905,trifft voll zu,0.54
http://digistrucmed.org/questionnaire#30060005,5,"5<tab>Die Lernplattform arbeitet fehlerfrei und schnell; keine technischen Fehler, oder � falls zutreffend � enth�lt einen Fortschrittsbalken",20,30060005,"5<tab>Die Lernplattform arbeitet fehlerfrei und schnell; keine technischen Fehler, oder � falls zutreffend � enth�lt einen Fortschrittsbalken",0.54
http://digistrucmed.org/questionnaire#30080005,5,"5<tab>Sehr logisch, einfach, klar und intuitive Men�f�hrung. Bietet Verkn�pfungen zum schnellen Wechsel zwischen verschiedenen Bereichen/Men�punkten an",20,30080005,"5<tab>Sehr logisch, einfach, klar und intuitive Men�f�hrung. Bietet Verkn�pfungen zum schnellen Wechsel zwischen verschiedenen Bereichen/Men�punkten an",0.54
http://digistrucmed.org/questionnaire#30160005,5,5<tab>Ich w�rde die Lernplattform jedem empfehlen,20,30160005,5<tab>Ich w�rde die Lernplattform jedem empfehlen,0.54
