VisitId,UserId,PlatformId,QuestionnarieId,QuestionId,AnswerId,StartTime,EndTime,Speed,RawResponseValue
48,48,1,SUS,SU01_01,20010107,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
48,48,1,SUS,SU01_02,20010207,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
48,48,1,SUS,SU01_03,20010307,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
48,48,1,SUS,SU01_04,20010407,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
48,48,1,SUS,SU01_05,20010507,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
48,48,1,SUS,SU01_06,20010607,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
48,48,1,SUS,SU01_07,20010707,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
48,48,1,SUS,SU01_08,20010807,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
48,48,1,SUS,SU01_09,20010907,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
48,48,1,SUS,SU01_10,20011007,2025-10-02T00:09:05,2025-10-02T00:09:50,2.56,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM01,30010006,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM02,30020007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM03,30030007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM04,30040007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM06,30060007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM07,30070007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM08,30080007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM09,30090007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM10,30100007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM11,30110007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM12,30120008,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM13,30130008,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM14,30140008,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM15,30150008,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM16,30160007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM17,30170007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM18,30180007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM19,30190007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM20,30200007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM21,30210007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM22,30220007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM23,30230007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM24,30240007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
50,50,1,uMARS,UM25,30250007,2025-10-02T00:11:25,2025-10-02T00:12:02,0.97,NO_RECORDED_RESPONSE
52,52,1,ME1,M002_01,10020109,2025-10-02T00:30:05,2025-10-02T00:33:19,0.81,9
52,52,1,ME1,M003_01,10030105,2025-10-02T00:30:05,2025-10-02T00:33:19,0.81,5
